identifier, formula, density, mass
BOXFIE,C168 H156 O25 Pb4,0.38925336839058805,3403.828241,7.0
BOXFOK,C170 H177 Dy2 O29,0.3448704661197342,3009.214102,1.4915254237288136
BOZFAZ,C62 H38 Cd2 N18 O8,1.0962335300997854,1387.911532,7.0
BOZFON,C81 H52 Cd3 N8 O13,1.257587627635527,1682.570761,6.666666666666667
BUFNEW,C172 H180 Cd4 O33,0.37961018384442985,3224.913025,8.0
BUFNOG,C168 H172 Cd4 O32,0.36857681750890886,3152.807132,8.0
BUFNUM01,C168 H164 Cd4 O29 Pb2,0.4045016501250983,3511.145389,0.47572815533980584
BUFNUM02,C168 H164 Cd2 O29 Pb1,0.34177494967837124,3079.117389,0.7488372093023256
BUFNUM,C168 H164 Cd3 O28 Pb1,0.3479348114622565,3175.531984,1.105263157894737
BUFPAU01,C168 H169 Cd1 O28 Pb2,0.3723980315479964,3162.9436889999997,0.822429906542056
BUJLOK,C79 H78 Cu2 Mn3 N18 O27,1.2551492599030163,2003.478579,5.8
BUJMAX,C75 H74 Mn4 N13 O19,1.0673713316025912,1681.221144,5.5
BUKRUW01,C24 H12 N12 O14 Zn8,0.9852341916847883,1215.465158,3.75
BUKRUW02,C24 H12 N12 O14 Zn8,0.9852781725179879,1215.465158,4.375
BUKRUW03,C24 H12 N12 O14 Zn8,0.9883780692674794,1215.465158,4.0
BUKRUW,C24 H12 N12 O14 Zn8,0.9951962137884679,1215.465158,4.0
BUKSIL,C24 H12 Co2 N12 O14 Zn6,0.9792330882296629,1202.571546,4.75
BUKTAE,C24 H12 N12 O14 Zn8,0.9877452828548706,1215.465158,4.0
BUKTEI,C24 H12 N12 O14 Zn8,0.9927783137760583,1215.465158,4.0
BUKTIM,C24 H12 N12 O14 Zn8,0.99092939979776,1215.465158,4.0
BUKTOS,C24 H12 N12 O14 Zn8,0.9914318495246242,1215.465158,4.0
BUPVIT,C18 H14 Ce3 O16,1.216507155551771,906.6429740000001,8.0
BUSMUY,C24 H16 Co1 N10,1.1586601106414738,503.38504,6.0
BUTPIR,C66 H74 N4 O16 Zn4,0.8609880757445229,1440.8337659999997,5.0
BUWGAC01,C22 H12 Cu2 N6 O8,1.3814490865914315,615.45903,5.0
BUWGAC02,C22 H12 Cu2 N6 O8,1.4098022357149498,615.45903,5.0
BUWGAC03,C22 H12 Cu2 N6 O8,1.4098022357149498,615.45903,5.0
BUWGAC04,C22 H12 Cu2 N6 O8,1.4100004467621672,615.45903,5.0
BUWGAC05,C22 H12 Cu2 N6 O8,1.4016479273099494,615.45903,5.0
BUWGAC06,C22 H12 Cu2 N6 O8,1.400863430087118,615.45903,5.0
BUWGAC07,C22 H12 Cu2 N6 O8,1.3881911440295425,615.45903,5.0
BUWGAC08,C22 H12 Cu2 N6 O8,1.3850583808754733,615.45903,5.0
BUWGAC09,C22 H12 Cu2 N6 O8,1.3817991955377917,615.45903,5.0
BUWGAC10,C22 H12 Cu2 N6 O8,1.3737640992817928,615.45903,5.0
BUWGAC11,C22 H12 Cu2 N6 O8,1.3761262900463536,615.45903,5.0
BUWGAC12,C22 H12 Cu2 N6 O8,1.3741540468197855,615.45903,5.0
BUWGAC13,C22 H12 Cu2 N6 O8,1.3864134550193703,615.45903,5.0
BUWGAC14,C22 H12 Cu2 N6 O8,1.3970402138320166,615.45903,5.0
BUWGAC15,C22 H12 Cu2 N6 O8,1.3838896554814601,615.45903,5.0
BUWGAC16,C22 H12 Cu2 N6 O8,1.3810513259830157,615.45903,5.0
BUWGAC17,C22 H12 Cu2 N6 O8,1.3788149286340163,615.45903,5.0
BUWGAC18,C22 H12 Cu2 N6 O8,1.4096246332834137,615.45903,5.0
BUWGAC19,C22 H12 Cu2 N6 O8,1.375417157063942,615.45903,5.0
BUWGAC20,C22 H12 Cu2 N6 O8,1.391063222868556,615.45903,5.0
BUWGAC21,C22 H12 Cu2 N6 O8,1.3737281593618016,615.45903,5.0
BUWGAC22,C22 H12 Cu2 N6 O8,1.400682496640301,615.45903,5.0
BUWGAC23,C22 H12 Cu2 N6 O8,1.3737640992817928,615.45903,5.0
BUWGAC24,C22 H12 Cu2 N6 O8,1.377309540868599,615.45903,5.0
BUWGAC,C22 H12 Cu2 N6 O8,1.4383336605622554,615.45903,5.0
BUXNOZ,C84 H56 Cu10 N16 O50,0.861634104650787,2724.884354,5.0
CACKEZ,C52 H32 N8 O16 Zn2,0.6550995684525807,1155.616696,4.0
CAJQEL,C42 H30 Cu4 O24,0.7518509371926637,1172.85903,5.0
CAPYIF,C20 H12 Co1 N1 Na1 O7,1.4406364260281852,460.23559328,6.0
CAPYOL,C20 H12 N1 Na1 Ni1 O7,1.4609940454321488,459.99579927999997,6.0
CARDUY,C18 H16 N1 Nd1 O8,1.4616385878150004,518.564319,9.0
CARGUA,C57 H36 N12 Ni3 O18,0.7425073220018472,1353.047982,6.0
CATXAA,C26 H18 Ag1 B1 F4 N4,1.3765600132893039,581.121802652,4.0
CATZIJ01,C42 H28 Fe3 O16,0.5983807654010407,956.1989080000001,6.0
CAVWOO,C9 H5 Dy1 O7,1.7577099281295447,387.6322,7.0
CAWDOU02,C24 H18 Cu1 N8 O3,0.9370463892126498,529.9985369999999,5.0
CAXZOS,C106 H95 Co4 N11 O21,1.0772577719343204,2094.686849,6.0
CAYDOX,C6 H8 Cu1 N8 O1,1.4900971465930366,271.726997,5.0
CAZNIC,C70 H52 Cd3 N6 O20,1.2156696996318646,1634.43505,6.0
CEBSOV,C198 H140 F10 N45 Ni9 O16 Si1,0.6724044843024446,4151.84050663,5.777777777777778
CECVAI,C50 H55 Cu6 N13 O29,0.9965350232545013,1683.319639,4.5
CEFNEJ,C60 H30 Cu3 O15,0.3789198575746041,1181.511705,5.0
CEFNIN,C84 H54 Cu3 O15,0.31915282569755765,1493.960049,5.0
CEFNOT,C96 H54 Cu3 O15,0.21305769562263654,1638.088929,5.0
CEHLAD,C30 H38 N4 O18 Zn3,1.3129597917226785,938.7800599999998,5.666666666666667
CELZUQ,C16 H10 Al2 O10,1.147522723627404,416.208377,6.0
CEMJOV,C20 H6 In3 O18,1.6850024049380032,878.7057359999999,6.666666666666667
CEMLIS,C56 H39 Al5 O23 Si2,0.817388128850441,1270.9761465000001,5.6
CENQAP,C117 H72 N3 O18 Zn4,0.3160650146157395,2069.357731,5.0
CESPAU,C49 H51 Cd2 N5 O15,1.18685389533996,1174.783841,6.5
CETKUK,C8 H6 O10 P2 Zn2,1.034829808330051,454.83513999599995,4.0
CETTUT,C112 H80 N8 O16 Zn4,1.1988165581988517,2055.402264,6.0
CEZCOC,C39 H57 Cu3 Fe3 N6 Ni2 O37,0.5434516024922438,1677.4495,5.538461538461538
CIBCUO,C72 H68 N8 Ni8 O32,1.2981931980531374,2026.8950519999999,6.0
CIBTIT,C36 H24 Mn6 O30,1.1228575809746193,1266.1876379999999,6.0
CICDEA,C28 H16 N2 O8 S2 Zn2,1.3139475194425727,703.326022,5.0
CIDKUX,C56 H8 Cu4 F32 N32 O4,1.084633258096806,2055.0099852159997,6.0
