Name,N2 Henrys,N2 Henrys err,methane Henrys,methane Henrys err,helium Henrys,helium Henrys err,N2 adsorb,N2 adsorb err,methane adsorb,methane adsorb err,helium adsorb,helium adsorb err
otozoo_P1,4.65E-07,1.00E-14,4.65E-07,0,4.65E-07,1.00E-14,-0.000215041,,-0.000452521,0,-2.7785E-06,0
opixui_P1,3.76E-07,0,3.77E-07,1.00E-14,3.76E-07,0,-0.000152084,,-0.000320037,0,-1.9653E-06,0
otagau_P1_H,7.26E-07,0,7.26E-07,0,7.25E-07,2.01E-14,-0.000301006,,-0.000633421,0,-3.8896E-06,0
oxaluv_P1,5.05E-07,1.42E-14,5.05E-07,0,5.05E-07,1.42E-14,-0.000131289,,-0.000276276,0,-1.6964E-06,0
oxalij_P1_charged_H,4.21E-07,0,4.21E-07,1.00E-14,4.20E-07,1.42E-14,-0.000222282,,-0.000467758,0,-2.8722E-06,0
oquzim_P1,2.48E-07,7.11E-15,2.48E-07,0,2.47E-07,0,-0.000218228,,-0.000459227,0,-2.8199E-06,0
okosue_P1,4.06E-07,1.00E-14,4.06E-07,0,4.06E-07,1.00E-14,-0.00026996,,-0.00056809,0,-3.4884E-06,0
otedoi_P1,6.88E-07,2.01E-14,6.88E-07,0,6.87E-07,0,-0.000148393,,-0.000312271,0,-1.9174E-06,0
oqezuh_P1,3.41E-07,0,3.41E-07,0,3.41E-07,1.00E-14,-0.000343178,,-0.000722166,0,-4.4344E-06,0
qalwuz_P1_charged_H,4.07E-07,0,4.07E-07,0,4.07E-07,1.00E-14,-0.000170554,,-0.000358906,0,-0.000002204,0
puptus_P1,3.16E-07,7.11E-15,3.16E-07,7.11E-15,3.16E-07,7.11E-15,-0.000141932,,-0.000298674,0,-0.000001834,0
pirqoz_P1_charged_H,1.58E-06,0,1.58E-06,4.02E-14,1.58E-06,4.02E-14,-3.95885E-05,,-8.33079E-05,0,-5.115E-07,0
poypaw_P1,4.23E-07,1.42E-14,4.23E-07,0,4.23E-07,1.00E-14,-0.00017129,,-0.000360454,0,-2.2135E-06,0
qadbik_P1,3.49E-07,1.42E-14,3.49E-07,1.00E-14,3.49E-07,1.00E-14,-0.000196812,,-0.00041416,0,-2.5433E-06,0
qacgua_P1,3.73E-07,0,3.73E-07,1.00E-14,3.73E-07,0,-0.000354426,,-0.000745835,0,-0.00000458,0
podkuq_P1_H,9.07E-07,2.01E-14,9.07E-07,0,9.07E-07,2.84E-14,-0.000103261,,-0.000217298,0,-1.3344E-06,0
pugser_P1,4.80E-07,1.42E-14,4.80E-07,2.01E-14,4.80E-07,0,-0.000339612,,-0.00071466,0,-4.3885E-06,0
purjao_P1,5.62E-07,0,5.62E-07,1.42E-14,5.62E-07,0,-0.000304592,,-0.000640967,0,-0.000003936,0
qalhix_P1_charged_H,5.34E-07,0,5.34E-07,1.42E-14,5.34E-07,1.42E-14,-0.000263064,,-0.000553578,0,-3.3993E-06,0
pizjen_P1_charged_H,8.78E-07,0,8.79E-07,2.01E-14,8.78E-07,2.84E-14,-0.000355073,,-0.000747197,0,-4.5882E-06,0
potrex_P1,7.11E-07,3.48E-14,7.11E-07,0,7.11E-07,0,-0.000082805,,-0.00017425,0,-1.0698E-06,0
poxher_P1,4.99E-07,0,4.99E-07,0,4.99E-07,1.42E-14,-0.000196186,,-0.000412844,0,-0.000002535,0
qagqew_P1_H,4.03E-07,0,4.03E-07,1.42E-14,4.03E-07,0,-0.000126666,,-0.000266548,0,-1.6368E-06,0
qagdio_P1,5.29E-07,0,5.29E-07,0,5.29E-07,0,-0.000140291,,-0.000295221,0,-1.8129E-06,0
pozhui_P1_charged_H,3.13E-07,7.11E-15,3.13E-07,1.00E-14,3.13E-07,7.11E-15,-0.000256604,,-0.000539984,0,-3.3158E-06,0
pohwiu_P1_H,8.47E-07,0,8.48E-07,2.01E-14,8.47E-07,0,-0.000139065,,-0.000292641,0,-0.000001797,0
pogdas_P1_charged_H,4.64E-07,1.42E-14,4.64E-07,1.42E-14,4.64E-07,1.42E-14,-0.000129814,,-0.000273175,0,-1.6774E-06,0
puyguo_P1_H,3.51E-07,1.00E-14,3.51E-07,1.00E-14,3.51E-07,1.00E-14,-0.00033447,,-0.000703842,0,-0.000004322,0
pufrit_P1_charged,5.85E-07,2.01E-14,5.85E-07,1.42E-14,5.85E-07,0,-0.000241044,,-0.00050724,0,-3.1148E-06,0
pudsir01_P1,3.15E-07,1.00E-14,3.15E-07,7.11E-15,3.15E-07,1.23E-14,-0.000244821,,-0.000515189,0,-3.1635E-06,0
qachov_P1,3.63E-07,0,3.63E-07,0,3.63E-07,1.00E-14,-0.000254714,,-0.000536006,0,-3.2913E-06,0
pudsox_P1,3.12E-07,0,3.12E-07,7.11E-15,3.12E-07,0,-0.000245631,,-0.000516894,0,-3.1743E-06,0
pobgaq01_P1,8.52E-07,2.01E-14,8.52E-07,2.01E-14,8.52E-07,3.48E-14,-0.000156735,,-0.000329825,0,-2.0254E-06,0
puzlom_P1,9.00E-07,2.01E-14,9.00E-07,2.01E-14,9.00E-07,0,-0.00014519,,-0.000305531,0,-1.8761E-06,0
puftuh_P1,3.65E-07,0,3.65E-07,1.00E-14,3.65E-07,0,-0.000236602,,-0.000497892,0,-3.0571E-06,0
pohhax_P1,3.54E-07,1.00E-14,3.54E-07,1.00E-14,3.54E-07,0,-0.000279939,,-0.000589089,0,-3.6173E-06,0
qacgio_P1_charged,4.77E-07,0,4.77E-07,2.01E-14,4.77E-07,1.42E-14,-0.000132391,,-0.000278595,0,-1.7107E-06,0
