Name,N2 Henrys,N2 Henrys err,methane Henrys,methane Henrys err,helium Henrys,helium Henrys err,N2 adsorb,N2 adsorb err,methane adsorb,methane adsorb err,helium adsorb,helium adsorb err
wercii_P1_charged_H,4.36561e-07,1.74047e-14,4.36626e-07,1.42109e-14,4.36504e-07,1.42109e-14,-0.0003316641,,-0.0006979364,0.0000000000,-0.0000042855,0.0000000000
werdab_P1_H,4.92584e-07,0,4.92656e-07,0,4.92521e-07,1.42109e-14,-0.0003243655,,-0.0006825776,0.0000000000,-0.0000041913,0.0000000000
wizmav04_P1,5.60709e-07,0,5.60807e-07,0,5.60622e-07,1.42109e-14,-0.0003909156,,-0.0008226221,0.0000000000,-0.0000050513,0.0000000000
wojzom_P1,2.37063e-07,5.0243e-15,2.37107e-07,5.0243e-15,2.37024e-07,7.10543e-15,-0.0004147796,,-0.0008728404,0.0000000000,-0.0000053596,0.0000000000
wivrie_P1_H,3.33658e-07,0,3.33673e-07,7.10543e-15,3.33645e-07,0,-0.0000994968,,-0.0002093766,0.0000000000,-0.0000012859,0.0000000000
wizmav13_P1,5.49197e-07,0,5.49294e-07,2.00972e-14,5.49109e-07,1.42109e-14,-0.0003991114,,-0.0008398692,0.0000000000,-0.0000051573,0.0000000000
wizmav10_P1,5.53594e-07,0,5.53692e-07,2.00972e-14,5.53507e-07,1.42109e-14,-0.0003959405,,-0.0008331963,0.0000000000,-0.0000051162,0.0000000000
wizmav05_P1,5.60141e-07,1.42109e-14,5.60239e-07,1.42109e-14,5.60054e-07,0,-0.0003913121,,-0.0008234566,0.0000000000,-0.0000050564,0.0000000000
womcuy_P1,2.62258e-07,7.10543e-15,2.62272e-07,0,2.62245e-07,0,-0.0001214479,,-0.0002555703,0.0000000000,-0.0000015690,0.0000000000
wognoy_P1_H,4.20688e-07,1.42109e-14,4.20763e-07,1.00486e-14,4.20621e-07,1.42109e-14,-0.0004005310,,-0.0008428564,0.0000000000,-0.0000051756,0.0000000000
wufhiq_P1,2.88411e-07,7.10543e-15,2.88449e-07,1.2307e-14,2.88378e-07,1.00486e-14,-0.0002914840,,-0.0006133846,0.0000000000,-0.0000037666,0.0000000000
wenkil_P1,2.54886e-07,0,2.54911e-07,7.10543e-15,2.54864e-07,0,-0.0002153160,,-0.0004530995,0.0000000000,-0.0000027824,0.0000000000
wilnem01_P1,8.13439e-07,3.48093e-14,8.13496e-07,2.84217e-14,8.13388e-07,2.00972e-14,-0.0001575783,,-0.0003315996,0.0000000000,-0.0000020365,0.0000000000
wuljuj_P1,4.5831e-07,1.00486e-14,4.58396e-07,1.00486e-14,4.58234e-07,1.74047e-14,-0.0004183512,,-0.0008803563,0.0000000000,-0.0000054059,0.0000000000
wodfon_P1_charged,3.95269e-07,1.42109e-14,3.95328e-07,0,3.95216e-07,1.00486e-14,-0.0003362220,,-0.0007075279,0.0000000000,-0.0000043447,0.0000000000
woywis_P1_charged_H,3.2778e-07,1.00486e-14,3.27833e-07,7.10543e-15,3.27733e-07,1.2307e-14,-0.0003619674,,-0.0007617050,0.0000000000,-0.0000046774,0.0000000000
wercee_P1_charged_H,4.36076e-07,1.00486e-14,4.36138e-07,0,4.3602e-07,0,-0.0003213624,,-0.0006762586,0.0000000000,-0.0000041524,0.0000000000
wizmav14_P1,5.57741e-07,2.00972e-14,5.57839e-07,1.42109e-14,5.57654e-07,1.42109e-14,-0.0003929959,,-0.0008269999,0.0000000000,-0.0000050782,0.0000000000
wijxiy_P1,7.40766e-07,2.00972e-14,7.40832e-07,0,7.40708e-07,0,-0.0001986920,,-0.0004181170,0.0000000000,-0.0000025674,0.0000000000
wizmav08_P1,5.54307e-07,0,5.54404e-07,0,5.54219e-07,1.42109e-14,-0.0003954315,,-0.0008321253,0.0000000000,-0.0000051097,0.0000000000
winbed_P1,3.33342e-07,1.2307e-14,3.33395e-07,1.00486e-14,3.33295e-07,7.10543e-15,-0.0003552703,,-0.0007476124,0.0000000000,-0.0000045906,0.0000000000
xidciz_P1_H,3.26122e-07,0,3.2615e-07,7.10543e-15,3.26096e-07,7.10543e-15,-0.0001962419,,-0.0004129612,0.0000000000,-0.0000025356,0.0000000000
xotsik_P1_H,3.70405e-07,0,3.70437e-07,1.00486e-14,3.70377e-07,1.00486e-14,-0.0001923355,,-0.0004047411,0.0000000000,-0.0000024852,0.0000000000
xoxtiq_P1_H,3.69242e-07,0,3.69285e-07,1.00486e-14,3.69204e-07,1.00486e-14,-0.0002592756,,-0.0005456060,0.0000000000,-0.0000033504,0.0000000000
xidcev_P1_H,3.94912e-07,1.00486e-14,3.94958e-07,1.00486e-14,3.9487e-07,1.00486e-14,-0.0002634098,,-0.0005543059,0.0000000000,-0.0000034038,0.0000000000
xolsuo_P1,4.23846e-07,1.00486e-14,4.23862e-07,1.74047e-14,4.23831e-07,1.00486e-14,-0.0000889243,,-0.0001871280,0.0000000000,-0.0000011495,0.0000000000
yakboe_P1,4.62242e-07,1.00486e-14,4.62291e-07,1.42109e-14,4.62198e-07,0,-0.0002388712,,-0.0005026683,0.0000000000,-0.0000030868,0.0000000000
yampel_P1,4.13513e-07,1.42109e-14,4.13559e-07,0,4.13472e-07,0,-0.0002493317,,-0.0005246807,0.0000000000,-0.0000032216,0.0000000000
xokhiq_P1,5.13395e-07,2.00972e-14,5.13408e-07,0,5.13384e-07,0,-0.0000563018,,-0.0001184770,0.0000000000,-0.0000007279,0.0000000000
xuxpeo_P1_H,4.88991e-07,0,4.89061e-07,0,4.88928e-07,1.42109e-14,-0.0003238921,,-0.0006815814,0.0000000000,-0.0000041854,0.0000000000
xuvheb02_P1,3.73452e-07,1.00486e-14,3.735e-07,0,3.73409e-07,1.42109e-14,-0.0002894595,,-0.0006091235,0.0000000000,-0.0000037403,0.0000000000
yatvun_P1_charged,5.56581e-07,2.46139e-14,5.56604e-07,2.00972e-14,5.5656e-07,1.42109e-14,-0.0000934574,,-0.0001966661,0.0000000000,-0.0000012075,0.0000000000
xiqyuu_P1_charged_H,5.64544e-07,1.42109e-14,5.64579e-07,2.00972e-14,5.64512e-07,0,-0.0001388286,,-0.0002921435,0.0000000000,-0.0000017939,0.0000000000
yakcum_P1_charged_H,3.4414e-07,1.00486e-14,3.44157e-07,0,3.44125e-07,1.00486e-14,-0.0001099505,,-0.0002313744,0.0000000000,-0.0000014208,0.0000000000
xuggak_P1,2.45955e-07,7.10543e-15,2.46002e-07,0,2.45913e-07,1.00486e-14,-0.0004289184,,-0.0009025935,0.0000000000,-0.0000055422,0.0000000000
xoxtuc_P1,4.19851e-07,0,4.19868e-07,1.00486e-14,4.19836e-07,0,-0.0000898055,,-0.0001889815,0.0000000000,-0.0000011608,0.0000000000
yawwec_P1,5.07181e-07,1.42109e-14,5.07214e-07,1.42109e-14,5.07151e-07,0,-0.0001485197,,-0.0003125364,0.0000000000,-0.0000019195,0.0000000000
xokhow_P1_H,4.88357e-07,1.42109e-14,4.88414e-07,2.00972e-14,4.88306e-07,1.42109e-14,-0.0002624350,,-0.0005522543,0.0000000000,-0.0000033913,0.0000000000
yatwau_P1_charged,5.44633e-07,2.00972e-14,5.44656e-07,0,5.44612e-07,1.42109e-14,-0.0000955487,,-0.0002010674,0.0000000000,-0.0000012352,0.0000000000
xujnoi_P1_charged,4.523e-07,1.42109e-14,4.52353e-07,1.42109e-14,4.52253e-07,0,-0.0002619165,,-0.0005511633,0.0000000000,-0.0000033843,0.0000000000
yaprue01_P1_H,3.5211e-07,0,3.52176e-07,1.00486e-14,3.5205e-07,1.00486e-14,-0.0004237870,,-0.0008917950,0.0000000000,-0.0000054762,0.0000000000
yawbac_P1_H,4.30884e-07,1.00486e-14,4.30915e-07,1.00486e-14,4.30856e-07,0,-0.0001613857,,-0.0003396118,0.0000000000,-0.0000020854,0.0000000000
xolgem_P1_charged,3.34706e-07,0,3.3472e-07,7.10543e-15,3.34694e-07,1.00486e-14,-0.0000920874,,-0.0001937838,0.0000000000,-0.0000011901,0.0000000000
xoxtai_P1,4.1576e-07,1.00486e-14,4.15824e-07,1.00486e-14,4.15702e-07,1.42109e-14,-0.0003471262,,-0.0007304742,0.0000000000,-0.0000044856,0.0000000000
yavwuq_P1_charged,5.16679e-07,1.42109e-14,5.16741e-07,1.42109e-14,5.16624e-07,1.42109e-14,-0.0002675115,,-0.0005629372,0.0000000000,-0.0000034568,0.0000000000
xomcou_P1,4.55881e-07,1.00486e-14,4.55967e-07,1.00486e-14,4.55805e-07,1.00486e-14,-0.0004205807,,-0.0008850479,0.0000000000,-0.0000054347,0.0000000000
ximnoz_P1_H,3.10987e-07,0,3.11017e-07,0,3.1096e-07,7.10543e-15,-0.0002195388,,-0.0004619852,0.0000000000,-0.0000028371,0.0000000000
yavzut_P1_H,4.48692e-07,1.00486e-14,4.48724e-07,1.42109e-14,4.48663e-07,1.00486e-14,-0.0001610704,,-0.0003389486,0.0000000000,-0.0000020810,0.0000000000
xomsup_P1_charged,3.41748e-07,1.00486e-14,3.41787e-07,1.00486e-14,3.41714e-07,1.00486e-14,-0.0002534012,,-0.0005332442,0.0000000000,-0.0000032746,0.0000000000
xoxmed_P1_H,7.27334e-07,2.00972e-14,7.27381e-07,0,7.27291e-07,0,-0.0001463449,,-0.0003079606,0.0000000000,-0.0000018911,0.0000000000
xukmey_P1_charged_H,4.61261e-07,1.42109e-14,4.61334e-07,0,4.61195e-07,0,-0.0003565049,,-0.0007502104,0.0000000000,-0.0000046067,0.0000000000
xoxzui_P1_H,4.00963e-07,1.42109e-14,4.01008e-07,1.00486e-14,4.00923e-07,1.00486e-14,-0.0002518981,,-0.0005300809,0.0000000000,-0.0000032551,0.0000000000
xomcio_P1,4.55361e-07,1.42109e-14,4.55446e-07,0,4.55285e-07,1.42109e-14,-0.0004210612,,-0.0008860591,0.0000000000,-0.0000054409,0.0000000000
xujney_P1_charged,6.42656e-07,2.00972e-14,6.42703e-07,1.42109e-14,6.42614e-07,0,-0.0001650878,,-0.0003474019,0.0000000000,-0.0000021332,0.0000000000
yaslow_P1_charged_H,4.76632e-07,1.42109e-14,4.76709e-07,1.00486e-14,4.76564e-07,1.00486e-14,-0.0003583213,,-0.0007540325,0.0000000000,-0.0000046302,0.0000000000
xoxtow_P1,4.17306e-07,1.74047e-14,4.17323e-07,0,4.17291e-07,0,-0.0000903528,,-0.0001901338,0.0000000000,-0.0000011674,0.0000000000
xiggig_P1,3.04226e-07,7.10543e-15,3.04274e-07,7.10543e-15,3.04184e-07,0,-0.0003498910,,-0.0007362927,0.0000000000,-0.0000045211,0.0000000000
xinrap_P1_H,3.68885e-07,1.00486e-14,3.68917e-07,1.00486e-14,3.68857e-07,1.00486e-14,-0.0001926145,,-0.0004053279,0.0000000000,-0.0000024889,0.0000000000
xulgiw_P1,7.40723e-07,2.00972e-14,7.40814e-07,2.00972e-14,7.40641e-07,2.84217e-14,-0.0002770320,,-0.0005829715,0.0000000000,-0.0000035798,0.0000000000
xulsed_P1,2.77442e-07,7.10543e-15,2.77464e-07,0,2.77423e-07,7.10543e-15,-0.0001746831,,-0.0003675936,0.0000000000,-0.0000022566,0.0000000000
xizwip_P1,3.45652e-07,1.00486e-14,3.45684e-07,1.00486e-14,3.45624e-07,0,-0.0002044831,,-0.0004303038,0.0000000000,-0.0000026424,0.0000000000
yabher_P1_H,5.56377e-07,0,5.56414e-07,1.42109e-14,5.56344e-07,2.00972e-14,-0.0001502723,,-0.0003162247,0.0000000000,-0.0000019418,0.0000000000
xohqix_P1_charged,3.85762e-07,1.42109e-14,3.85784e-07,0,3.85742e-07,1.00486e-14,-0.0001307702,,-0.0002751859,0.0000000000,-0.0000016898,0.0000000000
xirkam_P1_charged,4.2748e-07,1.00486e-14,4.27499e-07,0,4.27463e-07,1.00486e-14,-0.0001004697,,-0.0002114237,0.0000000000,-0.0000012980,0.0000000000
xomcua_P1,4.56089e-07,0,4.56175e-07,1.42109e-14,4.56013e-07,0,-0.0004203887,,-0.0008846439,0.0000000000,-0.0000054322,0.0000000000
xubguy_P1_H,4.44851e-07,1.00486e-14,4.44908e-07,1.00486e-14,4.44801e-07,0,-0.0002858073,,-0.0006014379,0.0000000000,-0.0000036932,0.0000000000
xugpib_P1,4.38024e-07,1.00486e-14,4.38085e-07,0,4.3797e-07,1.42109e-14,-0.0003130904,,-0.0006588513,0.0000000000,-0.0000040458,0.0000000000
xillip_P1_charged,4.08241e-07,1.00486e-14,4.0826e-07,1.00486e-14,4.08224e-07,0,-0.0001046396,,-0.0002201979,0.0000000000,-0.0000013522,0.0000000000
xoxsov_P1,4.20111e-07,0,4.20175e-07,1.00486e-14,4.20054e-07,1.00486e-14,-0.0003418338,,-0.0007193371,0.0000000000,-0.0000044170,0.0000000000
xofyoi_P1,3.70937e-07,0,3.70998e-07,0,3.70883e-07,0,-0.0003664041,,-0.0007710415,0.0000000000,-0.0000047347,0.0000000000
yadboy_P1,3.97338e-07,1.42109e-14,3.97382e-07,1.00486e-14,3.97298e-07,1.00486e-14,-0.0002509905,,-0.0005281715,0.0000000000,-0.0000032433,0.0000000000
xivted_P1,5.34194e-07,1.42109e-14,5.34291e-07,0,5.34107e-07,1.42109e-14,-0.0004080173,,-0.0008586101,0.0000000000,-0.0000052723,0.0000000000
xugroi_P1_H,4.82656e-07,1.42109e-14,4.82728e-07,0,4.82591e-07,0,-0.0003348744,,-0.0007046923,0.0000000000,-0.0000043272,0.0000000000
