Name,N2 Henrys,N2 Henrys err,methane Henrys,methane Henrys err,helium Henrys,helium Henrys err,N2 adsorb,N2 adsorb err,methane adsorb,methane adsorb err,helium adsorb,helium adsorb err
kutcuz_P1_H,3.52576e-07,1.00486e-14,3.5261e-07,1.00486e-14,3.52546e-07,0,-0.0002156651,,-0.0004538339,0.0000000000,-0.0000027866,0.0000000000
kutnuk_P1,6.32434e-07,1.42109e-14,6.32468e-07,2.46139e-14,6.32404e-07,0,-0.0001203798,,-0.0002533207,0.0000000000,-0.0000015556,0.0000000000
kotbih_P1,5.33952e-07,0,5.3399e-07,0,5.33919e-07,1.42109e-14,-0.0001584770,,-0.0003334904,0.0000000000,-0.0000020481,0.0000000000
kuwcem_P1,5.35684e-07,1.42109e-14,5.35759e-07,1.42109e-14,5.35617e-07,1.42109e-14,-0.0003158109,,-0.0006645758,0.0000000000,-0.0000040809,0.0000000000
labzum_P1,3.35109e-07,7.10543e-15,3.35135e-07,0,3.35085e-07,7.10543e-15,-0.0001775157,,-0.0003735549,0.0000000000,-0.0000022936,0.0000000000
larvim_P1_H,3.59665e-07,1.00486e-14,3.5971e-07,1.00486e-14,3.59625e-07,0,-0.0002820276,,-0.0005934841,0.0000000000,-0.0000036443,0.0000000000
lajniw_P1_H,4.13533e-07,1.00486e-14,4.13579e-07,1.00486e-14,4.13493e-07,0,-0.0002474517,,-0.0005207244,0.0000000000,-0.0000031971,0.0000000000
kunsuj_P1_H,6.17884e-07,2.00972e-14,6.17919e-07,1.42109e-14,6.17853e-07,1.42109e-14,-0.0001265181,,-0.0002662381,0.0000000000,-0.0000016348,0.0000000000
latfui_P1,6.77459e-07,0,6.77593e-07,2.00972e-14,6.77339e-07,2.00972e-14,-0.0004447539,,-0.0009359167,0.0000000000,-0.0000057470,0.0000000000
labzia_P1,4.14745e-07,1.00486e-14,4.14778e-07,1.00486e-14,4.14716e-07,1.74047e-14,-0.0001750731,,-0.0003684150,0.0000000000,-0.0000022622,0.0000000000
labzew_P1,4.30214e-07,1.00486e-14,4.30248e-07,0,4.30184e-07,0,-0.0001749170,,-0.0003680862,0.0000000000,-0.0000022602,0.0000000000
lacyun_P1_charged,3.86278e-07,1.42109e-14,3.86313e-07,0,3.86247e-07,1.42109e-14,-0.0002019198,,-0.0004249093,0.0000000000,-0.0000026092,0.0000000000
laqxou_P1_H,3.50005e-07,0,3.50065e-07,0,3.49951e-07,0,-0.0003859641,,-0.0008122024,0.0000000000,-0.0000049874,0.0000000000
kudwaj_P1,4.42749e-07,1.00486e-14,4.42769e-07,1.00486e-14,4.42731e-07,0,-0.0001019247,,-0.0002144846,0.0000000000,-0.0000013172,0.0000000000
kujdeb_P1,3.32288e-07,1.00486e-14,3.32312e-07,7.10543e-15,3.32267e-07,7.10543e-15,-0.0001607489,,-0.0003382714,0.0000000000,-0.0000020769,0.0000000000
larrij_P1,3.87202e-07,0,3.87233e-07,1.00486e-14,3.87173e-07,1.00486e-14,-0.0001850278,,-0.0003893622,0.0000000000,-0.0000023911,0.0000000000
kunsap_P1_charged,3.82087e-07,0,3.82121e-07,1.00486e-14,3.82056e-07,1.00486e-14,-0.0002035324,,-0.0004283027,0.0000000000,-0.0000026301,0.0000000000
lasrij_P1_charged,4.79824e-07,1.42109e-14,4.7986e-07,0,4.79793e-07,1.42109e-14,-0.0001658479,,-0.0003490016,0.0000000000,-0.0000021431,0.0000000000
kufbeu_P1_H,1.73384e-07,5.0243e-15,1.73409e-07,0,1.73362e-07,5.0243e-15,-0.0003228196,,-0.0006793245,0.0000000000,-0.0000041712,0.0000000000
kujnot_P1_H,3.71519e-07,1.00486e-14,3.71556e-07,1.00486e-14,3.71486e-07,1.00486e-14,-0.0002230046,,-0.0004692793,0.0000000000,-0.0000028816,0.0000000000
lahyol_P1_H,2.6714e-07,1.00486e-14,2.67168e-07,1.00486e-14,2.67114e-07,0,-0.0002397759,,-0.0005045721,0.0000000000,-0.0000030979,0.0000000000
lagvex_P1,3.37464e-07,0,3.37502e-07,1.00486e-14,3.37429e-07,1.00486e-14,-0.0002543664,,-0.0005352755,0.0000000000,-0.0000032869,0.0000000000
kutdag_P1_charged_H,3.28706e-07,7.10543e-15,3.28738e-07,7.10543e-15,3.28677e-07,1.00486e-14,-0.0002195228,,-0.0004619531,0.0000000000,-0.0000028368,0.0000000000
kotlox_P1_H,3.56976e-07,1.00486e-14,3.57e-07,1.00486e-14,3.56955e-07,1.00486e-14,-0.0001495936,,-0.0003147974,0.0000000000,-0.0000019330,0.0000000000
lajkue_P1_charged_H,3.69985e-07,1.42109e-14,3.70028e-07,0,3.69947e-07,1.00486e-14,-0.0002595080,,-0.0005460944,0.0000000000,-0.0000033533,0.0000000000
labrue_P1_charged_H,3.54138e-07,0,3.54175e-07,1.00486e-14,3.54104e-07,1.00486e-14,-0.0002369232,,-0.0004985686,0.0000000000,-0.0000030610,0.0000000000
lawfex_P1,3.84074e-07,1.00486e-14,3.84106e-07,0,3.84044e-07,1.00486e-14,-0.0001903544,,-0.0004005719,0.0000000000,-0.0000024593,0.0000000000
kuygoc_P1_H,4.51347e-07,1.42109e-14,4.51398e-07,1.74047e-14,4.51302e-07,0,-0.0002520399,,-0.0005303793,0.0000000000,-0.0000032571,0.0000000000
larqee_P1,3.54159e-07,1.00486e-14,3.54198e-07,1.00486e-14,3.54123e-07,0,-0.0002484478,,-0.0005228201,0.0000000000,-0.0000032101,0.0000000000
kunquh_P1,3.17927e-07,7.10543e-15,3.1798e-07,7.10543e-15,3.17879e-07,7.10543e-15,-0.0003791790,,-0.0007979242,0.0000000000,-0.0000048997,0.0000000000
lasgiz_P1_charged_H,3.98262e-07,1.00486e-14,3.98339e-07,1.42109e-14,3.98193e-07,2.00972e-14,-0.0004342308,,-0.0009137728,0.0000000000,-0.0000056111,0.0000000000
kucdiw_P1,4.89979e-07,1.42109e-14,4.90065e-07,1.42109e-14,4.89901e-07,1.42109e-14,-0.0003958520,,-0.0008330100,0.0000000000,-0.0000051151,0.0000000000
lajlep_P1_charged_H,4.01265e-07,1.00486e-14,4.0131e-07,1.00486e-14,4.01224e-07,1.42109e-14,-0.0002542583,,-0.0005350473,0.0000000000,-0.0000032856,0.0000000000
labzog_P1,3.48629e-07,1.00486e-14,3.48657e-07,1.42109e-14,3.48604e-07,0,-0.0001802578,,-0.0003793244,0.0000000000,-0.0000023294,0.0000000000
laplog01_P1_charged,3.20807e-07,0,3.20849e-07,7.10543e-15,3.20769e-07,7.10543e-15,-0.0002957542,,-0.0006223694,0.0000000000,-0.0000038218,0.0000000000
lacjil_P1,3.25478e-07,0,3.25506e-07,7.10543e-15,3.25453e-07,1.00486e-14,-0.0001930802,,-0.0004063075,0.0000000000,-0.0000024953,0.0000000000
koxsic_P1_charged_H,3.29765e-07,0,3.29808e-07,7.10543e-15,3.29726e-07,7.10543e-15,-0.0002955449,,-0.0006219292,0.0000000000,-0.0000038190,0.0000000000
lawgew_P1,6.82355e-07,0,6.82489e-07,0,6.82235e-07,2.00972e-14,-0.0004415621,,-0.0009292002,0.0000000000,-0.0000057058,0.0000000000
lajlal_P1_charged_H,4.15081e-07,1.00486e-14,4.15129e-07,0,4.15039e-07,1.00486e-14,-0.0002560584,,-0.0005388354,0.0000000000,-0.0000033089,0.0000000000
lavtaf_P1_H,2.46305e-07,7.10543e-15,2.46335e-07,0,2.46278e-07,7.10543e-15,-0.0002738643,,-0.0005763054,0.0000000000,-0.0000035386,0.0000000000
latfoc_P1,6.77538e-07,2.00972e-14,6.77672e-07,0,6.77418e-07,2.84217e-14,-0.0004447022,,-0.0009358079,0.0000000000,-0.0000057464,0.0000000000
kuftai_P1,4.10766e-07,1.00486e-14,4.10821e-07,1.42109e-14,4.10717e-07,1.42109e-14,-0.0003005603,,-0.0006324834,0.0000000000,-0.0000038839,0.0000000000
lawhoj_P1,2.57066e-07,7.10543e-15,2.57083e-07,0,2.57051e-07,0,-0.0001474430,,-0.0003102716,0.0000000000,-0.0000019050,0.0000000000
lavtot_P1_H,2.37328e-07,8.70234e-15,2.37358e-07,8.70234e-15,2.37302e-07,5.0243e-15,-0.0002781556,,-0.0005853359,0.0000000000,-0.0000035941,0.0000000000
lavzug_P1_charged_H,1.88572e-07,5.0243e-15,1.88601e-07,0,1.88545e-07,5.0243e-15,-0.0003481376,,-0.0007326024,0.0000000000,-0.0000044986,0.0000000000
kujnuz_P1_H,3.63719e-07,0,3.63755e-07,1.00486e-14,3.63687e-07,1.00486e-14,-0.0002230045,,-0.0004692792,0.0000000000,-0.0000028816,0.0000000000
lagcut_P1_charged,3.51312e-07,0,3.51354e-07,0,3.51273e-07,1.00486e-14,-0.0002731087,,-0.0005747157,0.0000000000,-0.0000035289,0.0000000000
kutnoe_P1,6.35195e-07,1.42109e-14,6.35263e-07,1.42109e-14,6.35135e-07,2.46139e-14,-0.0002385751,,-0.0005020447,0.0000000000,-0.0000030828,0.0000000000
lacjor_P1,2.93878e-07,0,2.93905e-07,1.00486e-14,2.93855e-07,1.00486e-14,-0.0002024229,,-0.0004259686,0.0000000000,-0.0000026159,0.0000000000
kuyjas_P1_charged_H,2.85255e-07,1.00486e-14,2.85279e-07,1.00486e-14,2.85233e-07,7.10543e-15,-0.0001887463,,-0.0003971872,0.0000000000,-0.0000024390,0.0000000000
kubxow_P1,3.3946e-07,1.00486e-14,3.39501e-07,1.42109e-14,3.39423e-07,0,-0.0002707365,,-0.0005697234,0.0000000000,-0.0000034981,0.0000000000
kutpas_P1,5.48726e-07,2.00972e-14,5.48763e-07,0,5.48692e-07,1.42109e-14,-0.0001533219,,-0.0003226426,0.0000000000,-0.0000019812,0.0000000000
laqzov_P1,3.3893e-07,0,3.38989e-07,1.00486e-14,3.38877e-07,1.00486e-14,-0.0003894821,,-0.0008196056,0.0000000000,-0.0000050329,0.0000000000
ejoqur_P1_H,4.03918e-07,1.00486e-14,4.03941e-07,1.00486e-14,4.03897e-07,1.00486e-14,-0.0001307167,,-0.0002750734,0.0000000000,-0.0000016891,0.0000000000
erobiz_P1_H,6.26454e-07,1.42109e-14,6.26502e-07,1.42109e-14,6.26411e-07,2.00972e-14,-0.0001713055,,-0.0003604862,0.0000000000,-0.0000022135,0.0000000000
emituq_P1,4.14261e-07,1.42109e-14,4.1429e-07,1.00486e-14,4.14235e-07,0,-0.0001570207,,-0.0003304259,0.0000000000,-0.0000020291,0.0000000000
ekofoc_P1,3.53537e-07,0,3.53592e-07,0,3.53487e-07,0,-0.0003507001,,-0.0007379944,0.0000000000,-0.0000045315,0.0000000000
ejipul_P1_charged_H,3.39571e-07,1.00486e-14,3.39641e-07,1.42109e-14,3.39508e-07,0,-0.0004618402,,-0.0009718724,0.0000000000,-0.0000059677,0.0000000000
etovob_P1,4.50314e-07,1.00486e-14,4.50396e-07,1.00486e-14,4.50241e-07,1.42109e-14,-0.0004071944,,-0.0008568784,0.0000000000,-0.0000052617,0.0000000000
ehiwie_P1_charged,6.26009e-07,1.42109e-14,6.26085e-07,2.00972e-14,6.25941e-07,0,-0.0002730125,,-0.0005745132,0.0000000000,-0.0000035278,0.0000000000
etikaw_P1_H,3.97908e-07,1.00486e-14,3.97941e-07,1.00486e-14,3.9788e-07,1.42109e-14,-0.0001823487,,-0.0003837251,0.0000000000,-0.0000023565,0.0000000000
ehesob_P1,1.73344e-07,5.0243e-15,1.73363e-07,0,1.73326e-07,5.0243e-15,-0.0002519615,,-0.0005302135,0.0000000000,-0.0000032559,0.0000000000
eramer_P1_H,5.50738e-07,1.42109e-14,5.50842e-07,1.42109e-14,5.50645e-07,1.42109e-14,-0.0004236492,,-0.0008915050,0.0000000000,-0.0000054743,0.0000000000
