,Name,N2 Henrys,N2 Henrys err,methane Henrys,methane Henrys err,helium Henrys,helium Henrys err,N2 adsorb,N2 adsorb err,methane adsorb,methane adsorb err,helium adsorb,helium adsorb err
2008,pesyoe_P1,2.14815e-06,7.36542e-09,7.37264e-06,3.14719e-08,2.25829e-07,7.98082e-10,-9.416260658,,-12.8042190094,0.0109893636,-1.447144791,0.0050799081
2009,pihjoh01_P1,8.83115e-06,8.52975e-08,0.000108596,1.52979e-06,6.48704e-08,3.19975e-10,-19.3704811055,,-26.0233146955,0.0226985301,-3.0296798344,0.003683262
2010,peqkop_P1_charged,2.19834e-06,3.33792e-08,1.87323e-05,4.69272e-07,5.43167e-08,3.12014e-10,-16.0046549653,,-22.5719210487,0.1229507681,-2.4934020333,0.0054516631
2011,paykin_P1,1.81387e-06,9.4006e-09,5.15688e-06,1.5461e-08,2.68105e-07,8.02476e-10,-7.8650187797,,-11.0383438236,0.0264731017,-1.1556428027,0.008283283
2012,pipkux_P1_charged,1.74028e-06,1.06459e-08,4.56886e-06,2.40202e-08,2.97308e-07,8.95778e-10,-7.6361441497,,-10.8623989579,0.0429863711,-1.0535152863,0.0035160565
2013,qivtex_P1,6.03103e-06,5.72647e-08,2.76023e-05,2.55918e-07,3.65914e-07,1.32242e-09,-11.8618657832,,-16.7585740996,0.0432633984,-1.7329463963,0.0059461987
2014,qotlod05_P1_charged_H,4.36779e-06,2.01488e-08,1.02803e-05,8.6531e-08,1.08511e-06,3.394e-09,-6.5316644757,,-9.7505332294,0.0361643592,-0.6859145493,0.0061059933
2015,qowrav11_P1_H,4.91187e-06,2.51175e-08,2.31448e-05,1.31352e-07,3.66636e-07,4.36529e-10,-11.717536657,,-16.9669809712,0.0427835385,-1.4125831274,0.0089552153
2016,qedjui_P1,1.95657e-06,1.38821e-08,6.54324e-06,5.51686e-08,1.79555e-07,3.59837e-10,-9.4125894053,,-12.886361409,0.0332040293,-1.4819969862,0.00657201
2017,qowrav09_P1_H,4.91615e-06,2.71766e-08,2.31037e-05,2.5301e-07,3.67903e-07,1.16747e-09,-11.6867251894,,-16.9231980604,0.0528272457,-1.4046223514,0.0048239203
2018,qucziz_P1,5.56262e-06,3.17612e-08,2.6645e-05,7.46671e-08,2.88953e-07,5.33569e-10,-11.8809781963,,-16.3538618651,0.0365486393,-1.88857106,0.0059713004
2019,qechoy_P1_charged,8.75235e-07,2.91978e-09,2.40667e-06,1.65964e-08,1.51597e-07,4.48443e-10,-7.8318469168,,-10.7674579612,0.0286180372,-1.1270001225,0.0070849442
2020,qivtib_P1_H,4.7293e-06,3.14346e-08,2.40468e-05,2.18509e-07,2.3873e-07,8.30388e-10,-12.590221003,,-17.4693570787,0.039829054,-1.8364072058,0.0073966872
2021,qowrav07_P1_H,4.89336e-06,2.78021e-08,2.30068e-05,2.82428e-07,3.68687e-07,1.26731e-09,-11.673050341,,-16.9221289788,0.0392671644,-1.4015216049,0.0090238461
2022,qowrav05_P1_H,4.85676e-06,5.37783e-08,2.26728e-05,1.52942e-07,3.68193e-07,3.35367e-10,-11.64359262,,-16.8648529374,0.0371096076,-1.3965800068,0.0058668184
2023,qasyuh_P1,6.25855e-06,4.3551e-08,3.74012e-05,2.15897e-07,1.50074e-07,1.09536e-09,-15.7629117581,,-20.3754256169,0.0322715548,-2.5104949717,0.0071464031
